RV-A1B2C3D4,S001,5,조용하고 집중 잘 돼요. 칸막이가 있어서 좋습니다!,2026-05-01 10:30:00
RV-B2C3D4E5,S001,4,에어컨이 잘 나와서 쾌적해요,2026-05-02 14:00:00
RV-C3D4E5F6,S001,3,조명이 조금 어두운 편이에요,2026-05-03 09:15:00
RV-D4E5F6A7,S001,5,완전 조용해서 시험 공부할 때 최고예요,2026-05-04 11:00:00
RV-E5F6A7B8,S001,4,의자가 편하고 콘센트도 있어서 좋아요,2026-05-05 13:00:00
RV-F6A7B8C9,S004,5,조용하고 좋아요,2026-05-01 10:00:00
RV-A7B8C9D0,S004,4,청결하게 잘 관리되어 있어요,2026-05-02 12:00:00
RV-B8C9D0E1,S004,3,조금 좁은 느낌이 있어요,2026-05-03 14:00:00
RV-C9D0E1F2,S004,5,집중하기 딱 좋은 환경이에요,2026-05-04 09:00:00
RV-D0E1F2A3,S004,4,칸막이가 있어서 옆 사람 신경 안 써도 돼요,2026-05-05 16:00:00
RV-E1F2A3B4,SR001,5,2층 스터디룸 넓고 좋아요,2026-05-01 15:00:00
RV-F2A3B4C5,SR001,4,화이트보드가 있어서 편해요,2026-05-02 13:00:00
RV-A3B4C5D6,SR001,3,예약이 빨리 차서 아쉬워요,2026-05-03 10:00:00
RV-B4C5D6E7,SR001,5,그룹 스터디하기 딱 좋아요,2026-05-04 14:00:00
RV-C5D6E7F8,SR001,4,조명이 밝고 쾌적해요,2026-05-05 11:00:00
RV-81BED369,S004,2,wrwer,2026-06-04 15:40:56
